demanda_id,empresa_id,competencia,tipo_demanda,descricao,status,responsavel_operacional,estagiario_responsavel,data_limite,observacao,concluida_em,concluida_por,percentual_grupo,bloqueada,motivo_bloqueio,atualizado_em
74838,50,2026-05,PEDIR_INFOS,PEDIR_INFOS,pendente,,,,,,,0.0,0,,2026-05-31 01:01:36
74839,50,2026-05,GUIA_MEI,GUIA_MEI,pendente,,,,,,,0.0,0,,2026-05-31 01:01:37
74840,50,2026-05,REL_MEI,REL_MEI,pendente,,,,,,,0.0,0,,2026-05-31 01:01:37
74842,50,2026-05,REL_DEBITOS,REL_DEBITOS,pendente,,,,,,,0.0,0,,2026-05-31 01:01:37
65575,79,2026-05,EXEC_FOLHA,EXEC_FOLHA,pendente,,,,[Responsável: Vitor],,,0.0,0,,2026-05-31 02:09:27
65576,79,2026-05,ENV_CONTRACHEQUES,ENV_CONTRACHEQUES,pendente,,,,[Responsável: Vitor],,,0.0,0,,2026-05-31 01:04:04
65577,79,2026-05,GUIA_INSS,GUIA_INSS,pendente,,,,[Responsável: Rayana],,,0.0,0,,2026-05-31 14:11:06
65578,79,2026-05,APUR_SIMPLES,APUR_SIMPLES,pendente,,,,,,,0.0,0,,2026-05-31 01:01:36
65579,79,2026-05,GUIA_PREF,GUIA_PREF,pendente,,,,,,,0.0,0,,2026-05-31 01:01:36
65580,79,2026-05,REL_DEBITOS,REL_DEBITOS,pendente,,,,,,,0.0,0,,2026-05-31 01:01:36
65581,79,2026-05,PUXAR_NF_SAIDA,PUXAR_NF_SAIDA,pendente,,,,,,,0.0,0,,2026-05-31 01:01:36
85558,79,2026-05,PEDIR_INFOS,PEDIR_INFOS,pendente,,,,,,,0.0,0,,2026-05-31 01:01:36
85634,88,2026-05,PEDIR_INFOS,PEDIR_INFOS,pendente,,,,,,,0.0,0,,2026-05-31 01:01:43
85635,88,2026-05,APUR_SIMPLES,APUR_SIMPLES,pendente,,,,,,,0.0,0,,2026-05-31 01:01:43
85636,88,2026-05,GUIA_PREF,GUIA_PREF,pendente,,,,,,,0.0,0,,2026-05-31 01:01:43
85637,88,2026-05,REL_DEBITOS,REL_DEBITOS,pendente,,,,,,,0.0,0,,2026-05-31 01:01:43
85638,88,2026-05,PUXAR_NF_SAIDA,PUXAR_NF_SAIDA,pendente,,,,,,,0.0,0,,2026-05-31 01:01:43
101036,57,2026-05,PEDIR_INFOS,PEDIR_INFOS,pendente,,,,,,,0.0,0,,2026-05-31 01:01:38
101037,57,2026-05,GUIA_MEI,GUIA_MEI,pendente,,,,,,,0.0,0,,2026-05-31 01:01:38
101038,57,2026-05,REL_MEI,REL_MEI,pendente,,,,,,,0.0,0,,2026-05-31 01:01:38
101039,57,2026-05,REL_DEBITOS,REL_DEBITOS,pendente,,,,,,,0.0,0,,2026-05-31 01:01:38
83325,60,2026-05,OUTRA,OUTRA,pendente,,,,,,,0.0,0,,2026-05-31 01:01:34
85710,72,2026-05,PEDIR_INFOS,PEDIR_INFOS,pendente,,,,,,,0.0,0,,2026-05-31 01:01:48
85711,72,2026-05,APUR_SIMPLES,APUR_SIMPLES,pendente,,,,,,,0.0,0,,2026-05-31 01:01:48
85712,72,2026-05,GUIA_PREF,GUIA_PREF,pendente,,,,,,,0.0,0,,2026-05-31 01:01:48
85713,72,2026-05,REL_DEBITOS,REL_DEBITOS,pendente,,,,,,,0.0,0,,2026-05-31 01:01:48
85714,72,2026-05,PUXAR_NF_SAIDA,PUXAR_NF_SAIDA,pendente,,,,,,,0.0,0,,2026-05-31 01:01:48
101784,72,2026-05,CONS_ICMS_ST,CONS_ICMS_ST,pendente,,,,,,,0.0,0,,2026-05-31 01:01:48
91635,45,2026-05,OUTRA,OUTRA,pendente,,,,,,,0.0,0,,2026-05-31 01:01:35
100978,51,2026-05,PEDIR_INFOS,PEDIR_INFOS,pendente,,,,,,,0.0,0,,2026-05-31 01:01:34
100979,51,2026-05,GUIA_MEI,GUIA_MEI,pendente,,,,,,,0.0,0,,2026-05-31 01:01:34
100980,51,2026-05,REL_MEI,REL_MEI,pendente,,,,,,,0.0,0,,2026-05-31 01:01:34
93529,102,2026-05,GUIA_MEI,GUIA_MEI,pendente,,,,,,,0.0,0,,2026-05-31 01:01:48
93530,102,2026-05,GUIA_PREF,GUIA_PREF,pendente,,,,,,,0.0,0,,2026-05-31 01:01:48
93531,102,2026-05,REL_DEBITOS,REL_DEBITOS,pendente,,,,,,,0.0,0,,2026-05-31 01:01:48
93532,102,2026-05,CONS_ICMS_ST,CONS_ICMS_ST,pendente,,,,,,,0.0,0,,2026-05-31 01:01:48
